Set,Name,Theme,Year,Parts,Cost
,,,,,
31118-1,Surfer Beach House,Creator 31,2021,564,49.99
,,,,,Avg: $51.43
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31123-1,Off-road Buggy,Creator 31,2022,160,14.99
,,,,,Avg: $15.31
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31109-1,Pirate Ship,Creator 31,2020,1262,119.99
,,,,,Avg: $121.95
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31127-1,Street Racer,Creator 31,2022,258,19.99
,,,,,Avg: $20.19
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31125-1,Fantasy Forest Creatures,Creator 31,2022,175,14.99
,,,,,Avg: $15.11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31131-1,Downtown Noodle Shop,Creator 31,2022,569,44.99
,,,,,Avg: $44.82
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31132-1,Viking Ship and the Midgard Serpent,Creator 31,2022,1192,119.99
,,,,,Avg: $113.91
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31130-1,Sunken Treasure Mission,Creator 31,2022,522,34.99
,,,,,Avg: $33.01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11014-1,Bricks and Wheels,Classic,2021,653,39.99
,,,,,Avg: $46.93
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11022-1,Space Mission,Classic,2022,1700,69.99
,,,,,Avg: $79.40
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11011-1,Bricks and Animals,Classic,2020,1500,59.99
,,,,,Avg: $67.72
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11006-1,Creative Blue Bricks,Classic,2020,52,4.99
,,,,,Avg: $5.44
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11013-1,Creative Transparent Bricks,Classic,2021,500,29.99
,,,,,Avg: $32.67
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11008-1,Bricks and Houses,Classic,2020,270,19.99
,,,,,Avg: $20.89
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11019-1,Bricks and Functions,Classic,2022,500,29.99
,,,,,Avg: $31.16
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11017-1,Creative Monsters,Classic,2022,140,9.99
,,,,,Avg: $10.36
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10713-1,Creative Suitcase,Classic,2018,218,19.99
,,,,,Avg: $20.72
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11018-1,Creative Ocean Fun,Classic,2022,333,19.99
,,,,,Avg: $20.43
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11024-1,Gray Baseplate,Classic,2022,1,14.99
,,,,,Avg: $15.31
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11015-1,Around The World,Classic,2021,950,49.99
,,,,,Avg: $51.03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11020-1,Build Together,Classic,2022,1601,99.99
,,,,,Avg: $101.97
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11021-1,90 Years of Play,Classic,2022,1100,49.99
,,,,,Avg: $50.65
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10692-1,Creative Bricks,Classic,2015,221,16.99
,,,,,Avg: $16.30
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10696-1,Medium Creative Brick Box,Classic,2015,484,34.99
,,,,,Avg: $32.45
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10698-1,Large Creative Brick Box,Classic,2015,790,59.99
,,,,,Avg: $49.70
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76239-1,Batmobile Tumbler: Scarecrow Showdown,Super Heroes DC,2021,422,39.99
,,,,,Avg: $56.35
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76220-1,Batman versus Harley Quinn,Super Heroes DC,2022,42,9.99
,,,,,Avg: $13.47
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76179-1,Batman & Selina Kyle Motorcycle Pursuit,Super Heroes DC,2021,149,14.99
,,,,,Avg: $17.97
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76181-1,Batmobile: The Penguin Chase,Super Heroes DC,2021,402,29.99
,,,,,Avg: $33.86
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76182-1,Batman Cowl,Super Heroes DC,2021,410,59.99
,,,,,Avg: $63.87
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76183-1,Batcave: The Riddler Face-off,Super Heroes DC,2021,590,79.99
,,,,,Avg: $81.42
