REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
31267.5,5,2,1,2310,61,85,2,2,0,1,80,20,15,4,3,2,1,5,2,1,1,1,4,1,0,2,1,0,0,0,1,0,2,3,11,0,0,3,1,1,3,1,3,0,2,2,5,1,2,3,2,0,3,3,4,3,2,2,3,2
13501.875,1,2,2,4230,25,14,1,2,11,1,41,6,0,0,0,2,3,5,0,3,1,2,1,2,8,4,4,0,1,1,1,4,2,3,28,5,0,5,2,2,1,2,2,5,2,1,1,2,2,1,1,26,2,3,2.898961068615139,6,1,1,1,1
12080.625,5,2,1,3255,64,87,2,0,3,1,74,15,8,3,0,2,1,6,3,3,5,1,3,1,0,4,1,0,0,0,1,0,2,5,4,5,0,5,2,2,2,2,2,7,1,1,1,2,2,1,1,0,2,3,2.898961068615139,6,2,2,2,2
38373.75,2,2,1,2310,61,85,1,1,2,1,39,16,12,3,1,2,1,5,2,2,1,1,2,1,0,2,5,0,1,0,1,2,2,5,4,5,0,5,2,2,2,1,2,5,2,0,3,1,1,2,2,26,2,3,2.898961068615139,5,2,2,3,2
46901.25,1,2,2,5610,35,27,1,2,3,1,32,10,5,0,0,1,3,4,9,1,1,1,3,2,8,4,5,0,1,1,1,2,9,2,328,3,0,5,1,1,3,4,3,0,4,2,6,2,2,1,1,52,2,3,1,6,2,2,3,4
9238.125,1,2,2,8140,38,35,1,1,6,1,33,12,6,1,0,1,3,6,0,3,1,2,4,2,8,4,2,0,0,0,1,1,9,2,328,1,0,4,2,1,2,2,2,5,3,2,5,2,2,2,2,52,3,3,2,6,2,1,2,2
38373.75,1,2,2,4010,38,29,5,0,4,1,36,14,15,1,1,1,3,3,0,3,5,1,1,2,8,4,3,0,0,0,1,2,9,2,328,2,0,4,2,2,2,2,2,1,2,1,5,2,2,2,3,52,2,3,2.898961068615139,6,1,2,3,3
15633.75,1,2,2,4130,16,5,1,0,1,1,41,17,9,3,0,1,1,6,0,3,5,2,3,2,8,4,5,0,0,1,1,2,9,4,12,3,0,4,1,1,1,2,2,2,2,2,6,2,2,3,2,52,2,3,2.898961068615139,3,2,2,3,3
12080.625,1,2,2,4020,33,24,1,2,6,1,25,6,4,0,0,1,3,1,0,3,1,2,5,2,8,4,4,1,0,0,1,1,9,4,12,4,0,4,2,1,1,2,2,3,3,1,2,2,2,1,2,52,2,3,6,6,2,2,3,2
7816.875,4,2,2,3600,48,50,4,2,5,1,66,16,16,1,3,2,1,5,0,3,1,1,5,2,8,4,1,0,0,0,1,1,9,4,12,0,0,6,1,2,2,2,2,8,1,1,1,2,2,2,3,44,2,3,2.898961068615139,6,1,1,2,1
